date,time,home-team,home-score,away-score,away-team,player,team,pts,ast,reb,min,fg,fga,3p,3pa,ft,fta,or,dr,pf,st,to,bs,result
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Irving K.,Cleveland Cavaliers,29,4,2,29.8,12,22,4,7,1,1,1,2,1,2,0,0,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Love K.,Cleveland Cavaliers,23,2,12,24.983334,6,15,2,6,9,12,2,3,3,3,2,0,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,James L.,Cleveland Cavaliers,19,14,11,32.383335,9,14,0,3,1,2,3,0,3,0,4,1,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Anthony C.,New York Knicks,19,3,5,30.083334,8,18,1,4,2,2,1,1,5,1,4,0,false
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Rose D.,New York Knicks,17,1,3,29.583334,7,17,1,2,2,2,2,0,1,0,4,1,false
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Porzingis K.,New York Knicks,16,0,7,32.8,5,13,3,5,3,6,4,1,5,1,2,2,false
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Jefferson R.,Cleveland Cavaliers,13,1,4,25.783333,5,7,2,3,1,2,0,2,1,2,2,0,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Smith J.R.,Cleveland Cavaliers,8,2,3,25.233334,3,13,2,8,0,0,0,1,1,1,0,0,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Holiday J.,New York Knicks,8,2,6,26.45,2,7,2,3,2,2,1,1,0,1,0,0,false
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Kuzminskas M.,New York Knicks,7,0,1,9.233334,3,5,1,3,0,0,0,0,0,0,0,0,false
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Jennings B.,New York Knicks,7,5,3,21.233334,1,7,0,4,5,6,1,0,2,0,1,0,false
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Frye C.,Cleveland Cavaliers,6,0,4,14.133333,2,6,2,5,0,0,2,1,4,1,1,1,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Jones J.,Cleveland Cavaliers,5,0,0,5.5,1,2,1,1,2,2,0,0,1,0,0,0,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Baker R.,New York Knicks,5,0,1,6.733333,2,3,1,1,0,0,0,0,0,0,0,0,false
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Liggins D.,Cleveland Cavaliers,4,3,3,12.0,2,3,0,0,0,0,0,0,1,0,1,1,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Dunleavy M.,Cleveland Cavaliers,4,2,4,22.533333,2,3,0,1,0,0,0,3,0,3,0,0,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Hernangomez W.,New York Knicks,4,0,1,9.433333,2,3,0,0,0,0,1,0,1,0,1,0,false
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,McRae J.,Cleveland Cavaliers,2,0,0,5.8333335,1,4,0,0,0,0,0,0,1,0,0,0,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Andersen C.,Cleveland Cavaliers,2,0,0,5.5666666,1,1,0,0,0,0,0,0,0,0,0,1,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Shumpert I.,Cleveland Cavaliers,2,3,2,13.85,1,3,0,1,0,0,1,0,2,0,2,1,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Thomas L.,New York Knicks,2,1,1,16.616667,1,4,0,0,0,0,0,2,2,2,1,0,false
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,O'Quinn K.,New York Knicks,2,1,5,15.4,1,3,0,2,0,0,1,0,3,0,1,2,false
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Vujacic S.,New York Knicks,1,1,0,3.3,0,1,0,1,1,2,0,0,1,0,1,0,false
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Thompson T.,Cleveland Cavaliers,0,0,6,22.4,0,1,0,0,0,0,2,0,4,0,2,0,true
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Noah J.,New York Knicks,0,3,6,19.516666,0,1,0,0,0,0,1,1,1,1,1,0,false
26/10/2016,00:30,Cleveland Cavaliers,117,88,New York Knicks,Lee C.,New York Knicks,0,0,3,19.616667,0,5,0,2,0,0,1,0,1,0,2,1,false
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Lillard D.,Portland Trail Blazers,39,6,9,35.416668,13,20,4,6,9,9,1,0,3,0,4,0,true
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Johnson J.,Utah Jazz,29,3,4,30.5,12,16,3,4,2,2,0,1,0,1,2,0,false
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Hood R.,Utah Jazz,26,1,2,37.65,9,17,3,7,5,5,0,2,3,2,0,1,false
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,McCollum C.,Portland Trail Blazers,25,3,2,34.6,8,16,2,2,7,7,1,1,3,1,3,0,true
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Hill G.,Utah Jazz,19,6,2,38.75,7,18,1,6,4,4,0,2,2,2,1,1,false
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Crabbe A.,Portland Trail Blazers,18,3,3,29.15,6,10,4,5,2,2,0,0,2,0,2,0,true
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Gobert R.,Utah Jazz,12,2,14,40.95,4,7,0,0,4,4,4,0,3,0,3,2,false
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Vonleh N.,Portland Trail Blazers,11,0,1,16.1,5,5,1,1,0,0,0,0,1,0,0,1,true
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Aminu A.,Portland Trail Blazers,9,1,4,28.4,3,6,2,3,1,1,0,1,0,1,1,0,true
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Davis E.,Portland Trail Blazers,6,1,7,24.116667,2,3,0,0,2,2,3,0,2,0,0,1,true
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Lyles T.,Utah Jazz,5,2,2,17.9,2,6,1,2,0,0,0,0,0,0,3,0,false
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Exum D.,Utah Jazz,5,0,2,8.333333,2,4,0,1,1,1,1,0,2,0,0,0,false
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Mack S.,Utah Jazz,4,4,1,14.8,2,5,0,1,0,0,0,2,1,2,0,0,false
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Turner E.,Portland Trail Blazers,3,5,5,26.016666,1,7,0,0,1,1,0,1,1,1,0,1,true
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Plumlee M.,Portland Trail Blazers,2,1,1,14.566667,1,4,0,0,0,0,0,0,4,0,0,0,true
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Ingles J.,Utah Jazz,2,1,0,14.1,1,1,0,0,0,0,0,1,2,1,1,0,false
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Diaw B.,Utah Jazz,2,0,3,32.166668,1,8,0,3,0,0,1,0,5,0,1,0,false
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Leonard M.,Portland Trail Blazers,0,1,1,9.25,0,2,0,1,0,0,0,0,1,0,0,0,true
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Harkless M.,Portland Trail Blazers,0,1,1,22.35,0,2,0,1,0,0,0,2,1,2,2,0,true
26/10/2016,03:00,Portland Trail Blazers,113,104,Utah Jazz,Withey J.,Utah Jazz,0,0,1,4.85,0,0,0,0,0,0,0,1,1,1,0,1,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Leonard K.,San Antonio Spurs,35,3,5,8.05,10,21,0,3,15,15,3,5,1,5,2,0,true
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Durant K.,Golden State Warriors,27,4,10,12.6,11,18,1,3,4,5,0,2,2,2,0,2,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Curry S.,Golden State Warriors,26,4,3,10.1,9,18,3,10,5,6,0,0,1,0,4,0,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Aldridge L.,San Antonio Spurs,26,3,14,11.183333,10,20,1,1,5,6,8,1,1,1,2,0,true
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Simmons J.,San Antonio Spurs,20,3,4,4.1666665,8,14,3,5,1,3,1,0,2,0,2,1,true
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Green D.,Golden State Warriors,18,6,12,8.616667,7,14,2,5,2,2,5,5,2,5,2,1,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Thompson K.,Golden State Warriors,11,2,1,9.35,5,13,1,6,0,0,0,0,4,0,1,0,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Mills P.,San Antonio Spurs,11,5,1,17.85,4,9,3,5,0,0,0,4,1,4,0,0,true
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Ginobili M.,San Antonio Spurs,10,2,5,20.866667,4,10,2,6,0,0,0,1,1,1,0,0,true
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Parker T.,San Antonio Spurs,9,4,3,2.4666667,4,9,1,2,0,0,0,0,4,0,2,0,true
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Lee D.,San Antonio Spurs,6,2,6,11.133333,2,4,0,0,2,2,3,0,1,0,2,0,true
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Clark I.,Golden State Warriors,5,2,0,13.366667,2,8,0,4,1,2,0,0,0,0,0,1,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Bertans D.,San Antonio Spurs,5,0,1,3.6833334,2,2,1,1,0,0,0,0,0,0,0,0,true
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Anderson K.,San Antonio Spurs,3,0,4,22.4,1,1,1,1,0,0,2,1,1,1,0,0,true
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,McGee J.,Golden State Warriors,2,0,0,3.6833334,1,2,0,0,0,1,0,0,0,0,0,0,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,McCaw P.,Golden State Warriors,2,2,0,9.0,1,3,0,2,0,0,0,1,0,1,0,1,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Iguodala A.,Golden State Warriors,2,3,2,2.8,1,3,0,2,0,0,1,1,3,1,1,0,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Livingston S.,Golden State Warriors,2,0,2,12.9,1,3,0,1,0,0,0,1,0,1,1,0,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,West D.,Golden State Warriors,2,0,2,10.65,1,2,0,0,0,0,1,1,2,1,4,1,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Pachulia Z.,Golden State Warriors,2,1,3,20.083334,1,1,0,0,0,0,1,0,2,0,3,0,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Dedmon D.,San Antonio Spurs,2,0,8,16.566668,1,4,0,0,0,0,4,1,3,1,1,2,true
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Gasol P.,San Antonio Spurs,2,1,4,18.266666,1,4,0,0,0,0,0,0,3,0,1,0,true
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Varejao A.,Golden State Warriors,1,0,0,3.1666667,0,0,0,0,1,2,0,0,3,0,0,0,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Looney K.,Golden State Warriors,0,0,0,3.6833334,0,0,0,0,0,0,0,0,0,0,0,0,false
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Forbes B.,San Antonio Spurs,0,0,0,3.6833334,0,0,0,0,0,0,0,0,0,0,0,0,true
26/10/2016,03:30,Golden State Warriors,100,129,San Antonio Spurs,Laprovittola N.,San Antonio Spurs,0,2,0,3.6833334,0,0,0,0,0,0,0,0,1,0,1,0,true
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Fournier E.,Orlando Magic,20,4,4,39.383335,7,19,2,6,4,7,1,2,3,2,1,0,false
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Whiteside H.,Miami Heat,18,1,14,30.966667,9,16,0,0,0,4,4,0,3,0,1,4,true
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Vucevic N.,Orlando Magic,17,3,14,35.816666,7,14,0,0,3,4,5,2,3,2,1,0,false
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Dragic G.,Miami Heat,16,6,6,28.616667,7,15,0,1,2,2,3,0,4,0,3,0,true
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Payton E.,Orlando Magic,16,5,4,37.5,4,12,0,2,8,8,2,0,1,0,4,2,false
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Winslow J.,Miami Heat,15,4,8,33.95,7,15,0,2,1,1,3,1,4,1,2,2,true
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Johnson T.,Miami Heat,15,3,6,28.3,7,11,0,1,1,1,1,2,2,2,1,0,true
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Ibaka S.,Orlando Magic,14,0,7,36.266666,6,17,2,4,0,0,1,0,3,0,0,1,false
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Gordon A.,Orlando Magic,12,4,8,35.1,5,11,2,2,0,0,2,1,1,1,3,1,false
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Johnson J.,Miami Heat,11,6,2,25.2,4,8,2,4,1,1,0,0,1,0,1,0,true
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Reed W.,Miami Heat,10,1,6,17.033333,5,6,0,0,0,0,3,0,1,0,0,1,true
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Waiters D.,Miami Heat,9,4,6,33.516666,4,13,0,1,1,2,1,0,2,0,1,0,true
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Babbitt L.,Miami Heat,8,2,1,18.8,3,10,2,6,0,0,0,0,1,0,0,0,true
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Augustin D.,Orlando Magic,7,1,1,16.533333,2,3,0,1,3,3,0,0,2,0,1,0,false
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Green Je.,Orlando Magic,7,1,3,25.233334,2,7,0,2,3,4,1,0,1,0,1,0,false
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,McGruder R.,Miami Heat,6,0,3,23.616667,1,3,0,1,4,5,1,2,4,2,1,0,true
27/10/2016,00:00,Orlando Magic,96,108,Miami Heat,Hezonja M.,Orlando Magic,3,2,3,14.166667,1,5,0,0,1,2,2,0,1,0,0,0,false
27/10/2016,00:00,Indiana Pacers,130,121,Dallas Mavericks,Turner M.,Indiana Pacers,30,1,16,37.483334,13,19,1,2,3,5,6,2,4,2,2,4,true
27/10/2016,00:00,Indiana Pacers,130,121,Dallas Mavericks,George P.,Indiana Pacers,25,6,8,42.766666,7,14,4,5,7,8,0,0,2,0,2,0,true
27/10/2016,00:00,Indiana Pacers,130,121,Dallas Mavericks,Williams D.,Dallas Mavericks,25,7,3,40.0,10,18,5,8,0,0,1,0,4,0,6,1,false
27/10/2016,00:00,Indiana Pacers,130,121,Dallas Mavericks,Barea J.J.,Dallas Mavericks,22,6,2,39.116665,7,17,2,7,6,6,0,0,1,0,3,1,false
27/10/2016,00:00,Indiana Pacers,130,121,Dallas Mavericks,Nowitzki D.,Dallas Mavericks,22,2,8,38.4,8,19,4,9,2,2,0,2,1,2,2,2,false
27/10/2016,00:00,Indiana Pacers,130,121,Dallas Mavericks,Teague J.,Indiana Pacers,20,8,2,36.75,5,15,0,3,10,13,0,3,4,3,3,0,true
27/10/2016,00:00,Indiana Pacers,130,121,Dallas Mavericks,Ellis M.,Indiana Pacers,19,7,7,44.016666,7,11,1,2,4,4,0,3,3,3,3,0,true
27/10/2016,00:00,Indiana Pacers,130,121,Dallas Mavericks,Barnes H.,Dallas Mavericks,19,0,9,34.683334,8,14,3,6,0,0,3,0,3,0,2,0,false
27/10/2016,00:00,Indiana Pacers,130,121,Dallas Mavericks,Matthews W.,Dallas Mavericks,13,3,5,39.616665,3,16,2,10,5,6,0,3,4,3,1,0,false
27/10/2016,00:00,Indiana Pacers,130,121,Dallas Mavericks,Young T.,Indiana Pacers,11,4,5,34.216667,5,10,1,1,0,0,0,1,6,1,2,0,true
27/10/2016,00:00,Indiana Pacers,130,121,Dallas Mavericks,Stuckey R.,Indiana Pacers,8,1,3,21.9,3,6,1,2,1,3,0,0,0,0,2,0,true
27/10/2016,00:00,Indiana Pacers,130,121,Dallas Mavericks,Miles C.,Indiana Pacers,8,1,0,12.55,3,6,2,3,0,0,0,2,1,2,0,0,true
