date,time,home-team,home-score,away-score,away-team,player,team,pts,ast,reb,min,fg,fga,3p,3pa,ft,fta,or,dr,pf,st,to,bs,result
29/10/2013,23:00,Indiana Pacers,97,87,Orlando Magic,George P.,Indiana Pacers,24,5,6,36.083332,8,16,3,6,5,7,1,1,0,1,4,3,true
29/10/2013,23:00,Indiana Pacers,97,87,Orlando Magic,Stephenson L.,Indiana Pacers,19,5,7,35.633335,8,12,2,3,1,2,2,0,2,0,1,1,true
29/10/2013,23:00,Indiana Pacers,97,87,Orlando Magic,Nicholson A.,Orlando Magic,18,0,4,19.283333,8,10,2,2,0,0,1,1,4,1,1,0,false
29/10/2013,23:00,Indiana Pacers,97,87,Orlando Magic,Harkless M.,Orlando Magic,14,0,1,23.5,6,13,2,2,0,1,1,1,4,1,0,0,false
29/10/2013,23:00,Indiana Pacers,97,87,Orlando Magic,West D.,Indiana Pacers,13,3,5,30.716667,4,11,0,0,5,5,0,2,2,2,5,5,true
29/10/2013,23:00,Indiana Pacers,97,87,Orlando Magic,Oladipo V.,Orlando Magic,12,2,3,22.583334,4,11,1,2,3,5,1,1,2,1,3,0,false
29/10/2013,23:00,Indiana Pacers,97,87,Orlando Magic,Nelson J.,Orlando Magic,12,7,5,30.566668,4,13,3,7,1,1,1,2,1,2,2,0,false
29/10/2013,23:00,Indiana Pacers,97,87,Orlando Magic,Afflalo A.,Orlando Magic,9,1,3,32.983334,3,14,1,5,2,3,1,0,1,0,1,0,false
29/10/2013,23:00,Indiana Pacers,97,87,Orlando Magic,Johnson O.,Indiana Pacers,9,0,1,15.2,3,4,1,2,2,2,0,0,1,0,1,0,true
29/10/2013,23:00,Indiana Pacers,97,87,Orlando Magic,Vucevic N.,Orlando Magic,8,3,10,30.65,4,11,0,0,0,0,5,2,4,2,5,1,false
29/10/2013,23:00,Indiana Pacers,97,87,Orlando Magic,Hibbert R.,Indiana Pacers,8,0,16,26.9,3,6,0,0,2,4,6,1,0,1,3,7,true
