date,time,home-team,home-score,away-score,away-team,player,team,pts,ast,reb,min,fg,fga,3p,3pa,ft,fta,or,dr,pf,st,to,bs,result
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,James L.,Cleveland Cavaliers,25,5,10,36.066666,12,22,1,5,0,3,0,1,3,1,1,0,false
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Williams M.,Cleveland Cavaliers,19,7,4,37.15,7,15,3,7,2,3,0,1,2,1,1,1,false
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Mirotic N.,Chicago Bulls,19,1,9,25.233334,6,11,3,4,4,4,2,1,5,1,4,0,true
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Love K.,Cleveland Cavaliers,18,4,8,34.816666,6,17,3,7,3,3,4,0,0,0,2,2,false
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Rose D.,Chicago Bulls,18,5,1,32.466667,8,22,0,2,2,4,0,1,0,1,2,0,true
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Butler J.,Chicago Bulls,17,2,5,36.633335,6,14,0,2,5,5,1,2,1,2,0,1,true
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Snell T.,Chicago Bulls,11,0,2,28.8,4,9,2,5,1,2,0,0,4,0,1,0,true
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Moore E.,Chicago Bulls,11,1,3,14.366667,5,8,1,2,0,0,0,0,3,0,0,0,true
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Jefferson R.,Cleveland Cavaliers,10,1,0,16.95,4,7,2,4,0,0,0,1,3,1,1,0,false
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Smith J.R.,Cleveland Cavaliers,8,3,5,30.45,3,10,0,2,2,4,1,1,4,1,0,0,false
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,McDermott D.,Chicago Bulls,8,0,4,16.2,3,4,1,2,1,2,0,0,0,0,0,0,true
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Dellavedova M.,Cleveland Cavaliers,6,4,4,20.2,3,8,0,2,0,0,1,0,1,0,1,0,false
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Brooks A.,Chicago Bulls,6,0,2,15.533334,3,9,0,1,0,0,0,0,1,0,2,0,true
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Mozgov T.,Cleveland Cavaliers,5,2,5,20.9,2,6,0,0,1,2,2,0,2,0,3,2,false
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Gibson T.,Chicago Bulls,5,0,10,22.1,1,3,0,0,3,4,2,0,6,0,3,3,true
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Thompson T.,Cleveland Cavaliers,2,0,12,24.916666,1,4,0,0,0,0,2,1,4,1,1,0,false
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Varejao A.,Cleveland Cavaliers,2,0,2,11.55,0,1,0,0,2,2,1,0,1,0,0,1,false
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Gasol P.,Chicago Bulls,2,0,2,31.55,1,7,0,1,0,0,0,1,1,1,0,6,true
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Cunningham J.,Cleveland Cavaliers,0,0,0,3.1833334,0,2,0,0,0,0,0,0,0,0,0,0,false
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Jones J.,Cleveland Cavaliers,0,0,0,3.8166666,0,2,0,2,0,0,0,0,1,0,0,1,false
28/10/2015,00:00,Chicago Bulls,97,95,Cleveland Cavaliers,Noah J.,Chicago Bulls,0,4,9,17.116667,0,0,0,0,0,2,2,1,1,1,1,0,true
