date,time,home-team,home-score,away-score,away-team,pts,ast,reb,min,fg,fga,3p,3pa,ft,fta,or,dr,pf,st,to,bs,result
15/03/2016,23:30,Brooklyn Nets,131,114,Philadelphia 76ers,1.3746356964111328,-0.4694610834121704,0.1259136199951172,1.5745563507080078,0.5554068088531494,0.7087349891662598,-0.02466195821762085,-0.11207413673400879,0.2884838581085205,0.27309536933898926,0.11928784847259521,-0.02642148733139038,-0.14232087135314941,-0.02642148733139038,-0.24605333805084229,-0.013402044773101807,true
15/03/2016,23:00,Orlando Magic,116,110,Denver Nuggets,1.1693153381347656,0.2712709903717041,-0.10861325263977051,1.8734321594238281,0.3128676414489746,0.764277458190918,0.33606934547424316,0.7250539064407349,0.2075103521347046,0.24687492847442627,-0.14624124765396118,0.013250470161437988,-0.015125513076782227,0.013250470161437988,0.07351887226104736,-0.02229243516921997,true
15/03/2016,02:00,Phoenix Suns,107,104,Minnesota Timberwolves,-1.2076797485351562,-0.481886625289917,-0.3490748405456543,-1.8579845428466797,-0.5671021938323975,-0.9118518829345703,0.3927302360534668,1.0225377082824707,-0.4662057161331177,-0.5904865264892578,-0.22338175773620605,-0.02607661485671997,-0.02887415885925293,-0.02607661485671997,-0.1161578893661499,-0.20522353053092957,true
15/03/2016,23:00,Indiana Pacers,103,98,Boston Celtics,1.0809965133666992,-0.14017105102539062,0.05667304992675781,1.8960838317871094,0.36833953857421875,0.6967859268188477,0.02236384153366089,-0.05546450614929199,0.3231106996536255,0.47801780700683594,-0.2106015682220459,0.09651333093643188,-0.03840470314025879,0.09651333093643188,0.12346005439758301,0.13809460401535034,true
15/03/2016,02:30,Golden State Warriors,125,107,New Orleans Pelicans,0.5390520095825195,0.7300295829772949,-0.2016136646270752,-1.1706199645996094,0.21584010124206543,-0.11366605758666992,0.30447453260421753,0.4127568006515503,-0.19710278511047363,-0.29037392139434814,-0.07378804683685303,-0.017941057682037354,-0.057499051094055176,-0.017941057682037354,0.1822892427444458,-0.11182025074958801,true
15/03/2016,00:00,Houston Rockets,130,81,Memphis Grizzlies,4.4963908195495605,0.4699443578720093,0.9835264682769775,3.900236129760742,1.4761886596679688,2.9596400260925293,0.4882068634033203,1.3157553672790527,1.0574730038642883,1.560837984085083,0.01580667495727539,0.18876534700393677,0.34055161476135254,0.18876534700393677,0.674368143081665,0.0024770498275756836,true
15/03/2016,02:30,Utah Jazz,94,85,Cleveland Cavaliers,-3.825023651123047,-0.7391749620437622,-1.0923316478729248,-5.953573226928711,-1.228926420211792,-2.6807608604431152,-0.6093892455101013,-1.4875937700271606,-0.7577815055847168,-0.8896352052688599,-0.14892947673797607,-0.12412983179092407,-0.4547837972640991,-0.12412983179092407,-0.31459736824035645,0.059491872787475586,true
15/03/2016,00:00,Washington Wizards,124,81,Detroit Pistons,1.1859264373779297,0.5823577642440796,-0.09414243698120117,2.033031463623047,0.4555394649505615,0.7971887588500977,-0.04958903789520264,-0.22115802764892578,0.30887091159820557,0.303497314453125,-0.1378791332244873,0.24007511138916016,0.18685710430145264,0.24007511138916016,0.27224910259246826,-0.010049641132354736,true
15/03/2016,00:00,Oklahoma City Thunder,128,94,Portland Trail Blazers,1.9273405075073242,0.40275466442108154,0.6462926864624023,2.143970489501953,0.6586744785308838,1.255558967590332,0.09541231393814087,0.26530909538269043,0.5210896730422974,0.5491698980331421,0.19888043403625488,0.11871808767318726,0.22699379920959473,0.11871808767318726,0.29996204376220703,0.17294421792030334,true
05/12/2014,01:00,New York Knicks,87,90,Cleveland Cavaliers,-2.1182422637939453,-0.17278695106506348,-0.6814639568328857,-2.538043975830078,-0.5625154972076416,-0.9737515449523926,-7.976293563842773E-4,-0.1940779685974121,-0.9924132823944092,-1.2668225765228271,-0.06637251377105713,-0.13979220390319824,0.2453063726425171,-0.13979220390319824,-0.0440140962600708,-0.19811701774597168,false
